Company,60B,59B,58B,57B,56B,55B,54B,53B,52B,51B,50B,49B,48B,47B,46B,45B,44B,43B,42B,41B,40B,39B,38B,37B,36B,35B,34B,33B,32B,31B,30B,29B,28B,27B,26B,25B,24B,23B,22B,21B,20B,19B,18B,17B,16B,15B,14B,13B,12B,11B,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,PDUFA,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,60A
INCY,,,,,,,,,,,,,,,,,,,974100,1304100,1103800,1560700,931500,1808600,2113200,1077300,1649900,1434300,2230600,4166700,2357200,1690500,2258300,1380100,1244600,1083400,1135200,3142400,1439500,1165900,980300,1408600,1099900,1974900,1459600,1167100,1270200,1811400,1210900,888800,956200,1514300,1351600,1269200,1502800,1336600,2857500,1197500,1064300,1337500,2088200,3459500,1425600,1106700,953600,912600,1960900,1173000,1213700,1508300,1632600,1457000,1070800,937100,1000900,1047600,1524300,1411300,1444400,1383600,6704000,1606600,1606300,1209800,1405200,1278700,1908300,4536500,2474300,2439000,1626600,1239900,1583200,1914700,1488400,1283100,1429700,1246000,1188100,1352500,1905600,,,,,,,,,,,,,,,,,,,,
EGRX,,,,,,,,,,,,,,,,,,,,,293400,180100,183600,210000,146600,61400,82300,60200,114900,90500,113600,67800,68700,72900,58300,74300,86900,61400,68400,98300,153100,61400,56900,71100,78000,168900,227700,174200,223300,222100,165000,136900,133900,129300,83600,78900,92000,145600,93900,134000,231300,158200,174300,257600,195300,218000,186800,164200,230000,195000,302500,302000,2385500,396700,182000,134400,635500,181400,192400,135400,120700,100200,61800,139800,143000,134600,173100,119300,117300,308300,279800,156800,116100,108400,63200,84000,65300,71900,57700,108500,71200,,,,,,,,,,,,,,,,,,,,
ALDX,,,,,,,,,,,,,,,,,,,,,2190900,1267800,664000,916300,610300,572200,727100,451900,734100,660800,690600,701100,572000,653500,565000,450200,575700,649400,672000,832400,573400,570400,731800,818900,697300,571300,1612800,946700,990300,1056000,738000,580200,777600,1358100,1230700,1107100,882300,2923700,7236300,1683300,6443700,2913100,8736900,1557000,2229000,2203700,1209500,1765900,812500,877700,990100,685900,848900,583800,819300,426700,436200,709800,645900,463900,499900,659000,575000,410600,419300,643300,700500,606200,486600,491300,515500,497600,941100,1331200,501100,340700,325200,425100,591500,434100,552100,534200,,,,,,,,,,,,,,,,,,,
ETON,,,,,,,,,,,,,,,,,,,,,33400,49900,39500,11400,11600,53400,56500,46400,63100,50600,80800,19800,36500,23300,17900,56800,20000,57400,21300,88300,162600,34300,37800,31300,23700,36200,19800,11700,24400,17500,29600,51600,64000,62400,86500,119700,92100,62500,59500,41400,195800,70100,47200,41600,51900,41900,33700,26600,25600,104900,203900,85000,27200,53000,63600,5400,27600,15000,120300,20100,62500,118500,143800,31400,8500,79400,21100,24700,38800,19100,74100,15643700,1722300,1265800,797500,479500,363600,373100,153300,171600,551200,538300,,,,,,,,,,,,,,,,,,,
AMRX,,,,,,,,,,,,,,,,,,,,,982400,869800,751700,611200,1097500,687600,838100,997700,1034500,991300,1112500,664500,616900,779700,554100,456800,429700,1151300,3120500,1181600,1132700,394600,900100,904900,701500,930200,1063100,931900,812200,732200,1426200,1204800,832400,519900,7158600,749500,775000,462800,857100,1400300,664100,3450500,1123300,1993200,805300,688200,548600,493400,412300,623600,660600,484300,1668800,1692100,857400,759700,544600,851300,649500,519400,547200,623300,977100,4302800,3023300,1132300,1114700,1141100,1892100,1215100,1032000,1112200,1036200,875400,1768700,910000,666300,561200,897400,942600,746100,576700,508200,,,,,,,,,,,,,,,,,,
CTXR,,,,,,,,,,,,,,,,,,,,605700,738300,2454600,1612300,1669100,898100,631600,1192600,720700,830600,828800,1098200,1034800,1017000,1605500,1280000,1240600,15964400,2685800,1285900,1041800,2136200,2299100,1049100,1517800,2555900,978600,636100,1675400,1771800,592400,582400,972500,1066300,1077600,895000,867300,1893400,1194600,1007000,4027600,1469700,7285900,1530200,1701900,1397100,1347800,844100,646400,1121700,2476500,1003400,1260200,1460200,771200,574700,577200,413900,366800,241400,349400,684800,303500,242500,290500,514400,428100,486000,1438000,749800,963900,2766100,1307200,1649700,1108800,1130600,865000,610100,538300,413900,559700,541600,,,,,,,,,,,,,,,,,,,,
MESO,,,,,,,,,,,,,,,,,,,,61350,61100,28000,67150,27650,33650,53800,46950,54800,192350,232350,148050,82350,160950,142050,162600,133450,99750,61700,41950,67050,100800,82600,81300,172150,132600,222800,169750,333850,147200,198750,104300,142750,335150,347650,166750,164550,244650,347300,554800,0,0,3655950,1008100,395600,646450,284150,364750,187150,171850,258200,238200,302250,378000,777500,800550,274100,212000,139300,132900,219800,388250,112600,79950,50850,22200,78450,106750,132400,125250,66000,63500,81500,41300,41550,134300,48100,97800,86800,92050,72100,20250,,,,,,,,,,,,,,,,,,,,
SAGE,,,,,,,,,,,,,,,,,,,599000,543500,785900,385500,1000000,651000,868700,500900,751400,1420100,502900,475100,533900,3734900,785000,896000,1029100,970800,649700,405900,988900,743500,803000,682300,904800,536400,475700,365400,453000,487300,861700,635700,425600,559900,3198800,3802900,1500800,1938700,1776800,1843300,1280800,1275200,1749400,19740300,7443400,2868100,2232600,3113400,1819600,1517100,2105700,1469600,1431700,1010300,1022200,773200,636300,641500,680700,638800,937400,1233700,1280200,1543000,892200,1086000,1484900,1217000,1721900,2004300,2394300,5578000,1957900,1271100,1260300,1073900,887200,1138000,1286100,1093900,1070400,760100,981800,,,,,,,,,,,,,,,,,,,,
GRTX,,,,,,,,,,,,,,,,,,,,,1040900,509200,406200,446500,1145700,752400,551100,823900,679300,553000,695800,649300,1787300,1136100,581600,538700,566400,530800,667500,490700,456900,744100,905700,1149200,1286100,662700,936100,725300,1507900,1347600,948100,704500,1216500,2069700,1860500,1454200,1026600,1245900,1493400,4130300,17282400,40596200,11668700,7704700,6174100,3864500,2999400,3490700,4403400,2571700,1735400,1566900,707000,1559700,2210300,1218100,1080100,1480500,1383600,1405500,1657600,995600,1444300,1235500,1437600,1106200,1928500,2270500,32449500,8013200,4688200,2378000,2981500,1757200,3708200,2268500,2204400,1858600,1327800,1074000,731700,1223300,,,,,,,,,,,,,,,,,,,
IPSEY,,,,,,,,,,,,,,,,,,,,0,300,56700,3500,400,0,1000,400,1400,600,1200,200,0,300,0,300,0,300,0,0,300,200,0,600,700,400,600,200,100,0,600,300,200,400,200,600,400,0,0,0,0,400,2700,3900,500,300,0,300,700,300,300,1500,1700,1000,1400,700,1100,900,1400,2100,900,1500,0,700,700,1000,4600,1300,500,800,1600,300,400,600,1600,1900,800,500,500,1400,2200,600,900,3100,,,,,,,,,,,,,,,,,,
